reservation_id,customer_id,table_id,reservation_time
2,1002,4,2022-01-12 18:30:00
4,1004,5,2022-01-12 18:30:00
6,1006,7,2023-05-17 21:00:00
7,1007,9,2023-05-18 18:30:00
8,1008,10,2023-05-19 20:00:00
9,1009,5,2023-05-20 19:30:00
10,1010,8,2023-05-21 20:00:00
1,101,1,2023-05-12 18:00:00
2,102,2,2023-05-12 19:00:00
4,104,4,2023-05-14 18:30:00
6,106,6,2023-05-16 19:00:00
7,107,7,2023-05-17 20:30:00
8,108,8,2023-05-18 18:00:00
9,109,9,2023-05-19 19:30:00
10,110,10,2023-05-20 17:00:00
1,2,111,2022-01-12 18:30:00
1,3,4,2022-01-12 18:30:00
3,4,112,2022-01-12 18:30:00
3,4,5,2023-05-13 20:00:00
2,3,113,2022-01-12 18:30:00
3,2,4,2022-01-12 18:30:00
2,4,114,2022-01-12 18:30:00
4,5,4,2022-01-12 18:30:00
